sensor_id,x_m,t_s,T_excess_K,T_uncertainty_K,source
S01,0.02,10,25.63583466,1,synthetic_analytical_with_gaussian_noise
S01,0.02,20,25.94960995,1,synthetic_analytical_with_gaussian_noise
S01,0.02,30,22.03064083,1,synthetic_analytical_with_gaussian_noise
S01,0.02,40,19.80223348,1,synthetic_analytical_with_gaussian_noise
S01,0.02,50,16.8506535,1,synthetic_analytical_with_gaussian_noise
S01,0.02,60,16.35095409,1,synthetic_analytical_with_gaussian_noise
S01,0.02,70,13.69295547,1,synthetic_analytical_with_gaussian_noise
S01,0.02,80,12.89980415,1,synthetic_analytical_with_gaussian_noise
S01,0.02,90,11.64906715,1,synthetic_analytical_with_gaussian_noise
S01,0.02,100,10.66302936,1,synthetic_analytical_with_gaussian_noise
S01,0.02,110,10.64506958,1,synthetic_analytical_with_gaussian_noise
S01,0.02,120,8.905706887,1,synthetic_analytical_with_gaussian_noise
S01,0.02,130,8.395255411,1,synthetic_analytical_with_gaussian_noise
S01,0.02,140,7.406178461,1,synthetic_analytical_with_gaussian_noise
S01,0.02,150,6.0162988,1,synthetic_analytical_with_gaussian_noise
S01,0.02,160,5.398169512,1,synthetic_analytical_with_gaussian_noise
S01,0.02,170,7.800224604,1,synthetic_analytical_with_gaussian_noise
S01,0.02,180,5.413448503,1,synthetic_analytical_with_gaussian_noise
S01,0.02,190,5.675486371,1,synthetic_analytical_with_gaussian_noise
S01,0.02,200,3.521640414,1,synthetic_analytical_with_gaussian_noise
S02,0.04,10,42.43424335,1,synthetic_analytical_with_gaussian_noise
S02,0.04,20,39.50550341,1,synthetic_analytical_with_gaussian_noise
S02,0.04,30,35.53956163,1,synthetic_analytical_with_gaussian_noise
S02,0.04,40,33.99347828,1,synthetic_analytical_with_gaussian_noise
S02,0.04,50,28.22869511,1,synthetic_analytical_with_gaussian_noise
S02,0.04,60,25.92997318,1,synthetic_analytical_with_gaussian_noise
S02,0.04,70,23.58578115,1,synthetic_analytical_with_gaussian_noise
S02,0.04,80,21.74713668,1,synthetic_analytical_with_gaussian_noise
S02,0.04,90,21.03459393,1,synthetic_analytical_with_gaussian_noise
S02,0.04,100,16.99399289,1,synthetic_analytical_with_gaussian_noise
S02,0.04,110,15.80599401,1,synthetic_analytical_with_gaussian_noise
S02,0.04,120,15.6762509,1,synthetic_analytical_with_gaussian_noise
S02,0.04,130,11.5839261,1,synthetic_analytical_with_gaussian_noise
S02,0.04,140,11.64012997,1,synthetic_analytical_with_gaussian_noise
S02,0.04,150,9.775750044,1,synthetic_analytical_with_gaussian_noise
S02,0.04,160,8.47512985,1,synthetic_analytical_with_gaussian_noise
S02,0.04,170,8.645670368,1,synthetic_analytical_with_gaussian_noise
S02,0.04,180,9.873123307,1,synthetic_analytical_with_gaussian_noise
S02,0.04,190,7.581180337,1,synthetic_analytical_with_gaussian_noise
S02,0.04,200,6.367034757,1,synthetic_analytical_with_gaussian_noise
S03,0.06,10,43.00626097,1,synthetic_analytical_with_gaussian_noise
S03,0.06,20,39.31723514,1,synthetic_analytical_with_gaussian_noise
S03,0.06,30,34.36904631,1,synthetic_analytical_with_gaussian_noise
S03,0.06,40,30.96593711,1,synthetic_analytical_with_gaussian_noise
S03,0.06,50,29.3213154,1,synthetic_analytical_with_gaussian_noise
S03,0.06,60,26.15385537,1,synthetic_analytical_with_gaussian_noise
S03,0.06,70,23.1297417,1,synthetic_analytical_with_gaussian_noise
S03,0.06,80,22.24582669,1,synthetic_analytical_with_gaussian_noise
S03,0.06,90,20.03369188,1,synthetic_analytical_with_gaussian_noise
S03,0.06,100,16.88489999,1,synthetic_analytical_with_gaussian_noise
S03,0.06,110,15.20121362,1,synthetic_analytical_with_gaussian_noise
S03,0.06,120,14.81942898,1,synthetic_analytical_with_gaussian_noise
S03,0.06,130,12.4825821,1,synthetic_analytical_with_gaussian_noise
S03,0.06,140,12.8584018,1,synthetic_analytical_with_gaussian_noise
S03,0.06,150,10.98478877,1,synthetic_analytical_with_gaussian_noise
S03,0.06,160,8.555387067,1,synthetic_analytical_with_gaussian_noise
S03,0.06,170,8.325412582,1,synthetic_analytical_with_gaussian_noise
S03,0.06,180,8.062128483,1,synthetic_analytical_with_gaussian_noise
S03,0.06,190,4.691958996,1,synthetic_analytical_with_gaussian_noise
S03,0.06,200,6.471990094,1,synthetic_analytical_with_gaussian_noise
S04,0.08,10,28.57997364,1,synthetic_analytical_with_gaussian_noise
S04,0.08,20,23.69978317,1,synthetic_analytical_with_gaussian_noise
S04,0.08,30,21.1066649,1,synthetic_analytical_with_gaussian_noise
S04,0.08,40,18.98783514,1,synthetic_analytical_with_gaussian_noise
S04,0.08,50,18.86196494,1,synthetic_analytical_with_gaussian_noise
S04,0.08,60,16.05540362,1,synthetic_analytical_with_gaussian_noise
S04,0.08,70,13.91661267,1,synthetic_analytical_with_gaussian_noise
S04,0.08,80,15.1025094,1,synthetic_analytical_with_gaussian_noise
S04,0.08,90,12.31472732,1,synthetic_analytical_with_gaussian_noise
S04,0.08,100,11.59458669,1,synthetic_analytical_with_gaussian_noise
S04,0.08,110,10.78937929,1,synthetic_analytical_with_gaussian_noise
S04,0.08,120,8.742585601,1,synthetic_analytical_with_gaussian_noise
S04,0.08,130,9.129245361,1,synthetic_analytical_with_gaussian_noise
S04,0.08,140,5.563590804,1,synthetic_analytical_with_gaussian_noise
S04,0.08,150,7.42097668,1,synthetic_analytical_with_gaussian_noise
S04,0.08,160,5.890489531,1,synthetic_analytical_with_gaussian_noise
S04,0.08,170,4.380476055,1,synthetic_analytical_with_gaussian_noise
S04,0.08,180,5.9848564,1,synthetic_analytical_with_gaussian_noise
S04,0.08,190,3.849702404,1,synthetic_analytical_with_gaussian_noise
S04,0.08,200,2.338235809,1,synthetic_analytical_with_gaussian_noise
