x_m,t_s,T_excess_K,alpha_m2_s,source
0,0,0,1e-05,synthetic_analytical
0.001,0,1.570537954,1e-05,synthetic_analytical
0.002,0,3.139525976,1e-05,synthetic_analytical
0.003,0,4.705415666,1e-05,synthetic_analytical
0.004,0,6.266661678,1e-05,synthetic_analytical
0.005,0,7.821723252,1e-05,synthetic_analytical
0.006,0,9.369065729,1e-05,synthetic_analytical
0.007,0,10.90716207,1e-05,synthetic_analytical
0.008,0,12.43449436,1e-05,synthetic_analytical
0.009,0,13.9495553,1e-05,synthetic_analytical
0.01,0,15.45084972,1e-05,synthetic_analytical
0.011,0,16.93689601,1e-05,synthetic_analytical
0.012,0,18.40622763,1e-05,synthetic_analytical
0.013,0,19.85739453,1e-05,synthetic_analytical
0.014,0,21.28896458,1e-05,synthetic_analytical
0.015,0,22.69952499,1e-05,synthetic_analytical
0.016,0,24.08768371,1e-05,synthetic_analytical
0.017,0,25.45207079,1e-05,synthetic_analytical
0.018,0,26.79133975,1e-05,synthetic_analytical
0.019,0,28.10416889,1e-05,synthetic_analytical
0.02,0,29.38926261,1e-05,synthetic_analytical
0.021,0,30.64535268,1e-05,synthetic_analytical
0.022,0,31.87119949,1e-05,synthetic_analytical
0.023,0,33.06559327,1e-05,synthetic_analytical
0.024,0,34.2273553,1e-05,synthetic_analytical
0.025,0,35.35533906,1e-05,synthetic_analytical
0.026,0,36.44843137,1e-05,synthetic_analytical
0.027,0,37.50555348,1e-05,synthetic_analytical
0.028,0,38.52566214,1e-05,synthetic_analytical
0.029,0,39.50775062,1e-05,synthetic_analytical
0.03,0,40.45084972,1e-05,synthetic_analytical
0.031,0,41.35402871,1e-05,synthetic_analytical
0.032,0,42.21639628,1e-05,synthetic_analytical
0.033,0,43.03710135,1e-05,synthetic_analytical
0.034,0,43.815334,1e-05,synthetic_analytical
0.035,0,44.55032621,1e-05,synthetic_analytical
0.036,0,45.24135262,1e-05,synthetic_analytical
0.037,0,45.88773128,1e-05,synthetic_analytical
0.038,0,46.48882429,1e-05,synthetic_analytical
0.039,0,47.04403845,1e-05,synthetic_analytical
0.04,0,47.55282581,1e-05,synthetic_analytical
0.041,0,48.01468428,1e-05,synthetic_analytical
0.042,0,48.42915806,1e-05,synthetic_analytical
0.043,0,48.7958381,1e-05,synthetic_analytical
